Tên thư mục,Tên đề thi ,Loại câu hỏi,Điểm,Nội dung câu hỏi,A,B,C,D,Đáp Án,Độ Khó,Cố định đáp án,
Toán rời rạc 2 -> Chương 5 -> Cây và Cây khung,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Chạy thuật toán Prim trên đồ thị có ma trận trọng số. Khởi tạo cây khung T từ đỉnh A. Bước tiếp theo thuật toán sẽ làm gì?","Tìm cạnh có trọng số nhỏ nhất trong toàn bộ đồ thị để thêm vào","Tìm cạnh (A, v) có trọng số nhỏ nhất để thêm đỉnh v vào T","Sắp xếp tất cả các cạnh theo thứ tự tăng dần","Duyệt DFS từ A",B,Thông hiểu,,
Toán rời rạc 2 -> Chương 5 -> Cây và Cây khung,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Lỗi sai trong đoạn mã thuật toán Kruskal: 'Xếp các cạnh tăng dần; for (e in E) { if (e không tạo chu trình với T) { T = T U {e}; } }'. Mã giả trên thiếu điều kiện dừng sớm nào để tối ưu?","if (|T| == n - 1) break;","if (e có trọng số âm) continue;","if (|T| == n) break;","if (trọng số > 0) return;",A,Thông hiểu,,
Toán rời rạc 2 -> Chương 5 -> Cây và Cây khung,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Tổng trọng số của cây khung nhỏ nhất của đồ thị ở câu trước là bao nhiêu? (Các cạnh: (1,2) 2, (1,3) 4, (2,3) 1, (2,4) 3, (3,5) 2, (4,5) 5)","12","10","8","9",C,Vận dụng,,
Toán rời rạc 2 -> Chương 5 -> Cây và Cây khung,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Để kiểm tra một đồ thị vô hướng có tính chất là một 'cây' hay không, ta KHÔNG dùng cách nào sau đây?","Kiểm tra đồ thị liên thông và số cạnh bằng số đỉnh trừ 1","Kiểm tra đồ thị liên thông và mọi cạnh đều là cầu","Kiểm tra đồ thị không có chu trình và có n-1 cạnh","Kiểm tra đồ thị có mọi đỉnh đều có bậc chẵn",D,Thông hiểu,,
Toán rời rạc 2 -> Chương 5 -> Cây và Cây khung,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Sửa lỗi thuật toán Prim: Khi cập nhật mảng khoảng cách d[v] từ đỉnh u mới được nạp vào cây khung, công thức đúng là:","d[v] = min(d[v], d[u] + w(u,v))","d[v] = min(d[v], w(u,v))","d[v] = d[u] + 1","d[v] = w(u,v)",B,Thông hiểu,,
Toán rời rạc 2 -> Chương 5 -> Cây và Cây khung,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Một khu rừng (forest) có 5 đỉnh và 2 thành phần liên thông (2 cây rời rạc). Khu rừng này có tổng cộng bao nhiêu cạnh?","3","4","5","2",A,Vận dụng,,
Toán rời rạc 2 -> Chương 6 -> Đường đi ngắn nhất,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Cho đồ thị có hướng V={A,B,C,D,E}, cung (A,B) 10, (A,C) 3, (C,B) 4, (C,D) 2, (B,D) 2, (D,E) 5. Chạy Dijkstra tìm đường đi ngắn nhất từ A đến E. Đường đi đó là:","A -> B -> D -> E","A -> C -> D -> E","A -> C -> B -> D -> E","A -> B -> E",B,Vận dụng,,
Toán rời rạc 2 -> Chương 6 -> Đường đi ngắn nhất,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Độ dài đường đi ngắn nhất từ đỉnh A đến đỉnh E ở câu trên là bao nhiêu?","10","17","9","14",A,Vận dụng,,
Toán rời rạc 2 -> Chương 6 -> Đường đi ngắn nhất,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Sửa lỗi thuật toán Dijkstra: Lỗi sai phổ biến khi viết hàm CậpNhậtNhãn(v) từ đỉnh u là việc lập trình viên thường dùng nhầm công thức của thuật toán nào?","Nhầm với công thức cập nhật d[v] của thuật toán Prim","Nhầm với thuật toán duyệt BFS","Nhầm với thuật toán Bellman-Ford","Nhầm với thuật toán Kruskal",A,Thông hiểu,,
Toán rời rạc 2 -> Chương 6 -> Đường đi ngắn nhất,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Thuật toán Floyd tìm đường đi ngắn nhất mọi cặp đỉnh dùng 3 vòng lặp for i, for j, for k lồng nhau. Lỗi sai nghiêm trọng nhất về mặt cấu trúc dễ mắc phải là:","Đặt vòng lặp biến k (đỉnh trung gian) ở vị trí trong cùng thay vì ngoài cùng","Không dùng mảng 3 chiều","Khởi tạo đường chéo chính bằng vô cùng","Dùng trên đồ thị vô hướng",A,Thông hiểu,,
Toán rời rạc 2 -> Chương 6 -> Đường đi ngắn nhất,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Cho đồ thị V={1,2,3}, cung (1,2) 1, (2,3) 2, (3,1) -4. Tại sao thuật toán Dijkstra không thể tìm đúng đường đi ngắn nhất trên đồ thị này?","Vì đồ thị chứa chu trình âm","Vì đồ thị không liên thông","Vì đỉnh 1 không có đường đi tới đỉnh 3","Vì đồ thị quá ít đỉnh",A,Vận dụng,,
Toán rời rạc 2 -> Chương 6 -> Đường đi ngắn nhất,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Thuật toán Bellman-Ford khác thuật toán Dijkstra ở điểm cơ bản nào khi nới lỏng (relax) các cạnh?","Chỉ nới lỏng các cạnh kề với 1 đỉnh có nhãn nhỏ nhất","Duyệt qua toàn bộ tập cạnh E trong mỗi bước lặp thay vì chọn 1 đỉnh","Dùng Hàng đợi ưu tiên (Priority Queue) để tối ưu","Không dùng mảng trace để lưu vết",B,Thông hiểu,,
Toán rời rạc 2 -> Chương 6 -> Đường đi ngắn nhất,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Khởi tạo mảng d (khoảng cách) trong thuật toán Bellman-Ford để tìm đường đi từ đỉnh nguồn S. Giá trị ban đầu của d[S] và d[v] (v khác S) là:","d[S] = 0, d[v] = ∞","d[S] = ∞, d[v] = 0","d[S] = 1, d[v] = -1","d[S] = 0, d[v] = 0",A,Nhận biết,,
Toán rời rạc 2 -> Chương 6 -> Đường đi ngắn nhất,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Trong thuật toán Floyd, nếu ma trận kết quả cuối cùng có A[x][y] vẫn bằng ∞ (vô cực) thì ta kết luận điều gì?","Đồ thị chứa chu trình âm","Không có đường đi từ đỉnh x đến đỉnh y","Trọng số đường đi lớn hơn vô cùng","Đỉnh x và y trùng nhau",B,Thông hiểu,,
Toán rời rạc 2 -> Chương 7 -> Luồng cực đại trong mạng,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Cho mạng với S là điểm phát, T là điểm thu. Lát cắt (X, X*) có X={S}, X*={A, B, T}. Nếu c(S,A)=5, c(S,B)=4, c(A,B)=2. Khả năng thông qua của lát cắt này là:","11","9","7","5",B,Vận dụng,,
Toán rời rạc 2 -> Chương 7 -> Luồng cực đại trong mạng,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Trong bài toán luồng mạng, tổng lượng luồng đi vào đỉnh thu T luôn luôn bằng với giá trị nào sau đây?","Tổng lượng luồng đi ra khỏi đỉnh phát S","Tổng khả năng thông qua của tất cả các cung trong mạng","Bằng 0","Tổng số đỉnh của mạng",A,Thông hiểu,,
Toán rời rạc 2 -> Chương 7 -> Luồng cực đại trong mạng,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Mạng thặng dư Gf được xây dựng trong thuật toán Ford-Fulkerson có ý nghĩa vật lý/logic gì?","Thể hiện trọng số đường đi ngắn nhất từ phát đến thu","Lưu trữ khả năng thông qua còn lại và luồng có thể đẩy ngược để điều chỉnh tối ưu","Liệt kê số chu trình hiện có trên mạng","Đếm số lượng lát cắt cực tiểu của đồ thị",B,Thông hiểu,,
Toán rời rạc 2 -> Chương 7 -> Luồng cực đại trong mạng,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Đường tăng luồng P tìm được trên mạng thặng dư Gf sẽ có khả năng tăng thêm một lượng luồng (delta) bằng bao nhiêu?","Bằng tổng khả năng thông qua thặng dư của các cung trên P","Bằng giá trị nhỏ nhất của khả năng thông qua thặng dư trên các cung thuộc đường đi P","Bằng giá trị lớn nhất của khả năng thông qua thặng dư trên các cung thuộc P","Luôn bằng 1",B,Thông hiểu,,
Toán rời rạc 2 -> Chương 7 -> Luồng cực đại trong mạng,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Định lý Max-Flow Min-Cut phát biểu rằng: Giá trị của luồng cực đại trong mạng luôn bằng với...","Khả năng thông qua của lát cắt có giá trị lớn nhất","Khả năng thông qua của lát cắt có giá trị nhỏ nhất (lát cắt hẹp nhất)","Tổng luồng trên mọi lát cắt có thể có","Khoảng cách ngắn nhất từ đỉnh phát đến đỉnh thu",B,Nhận biết,,
