Tên thư mục,Tên đề thi,Loại câu hỏi,Điểm,Nội dung câu hỏi,A,B,C,D,Đáp Án,Độ Khó,Cố định đáp án,,
"Toán rời rạc 2 -> Chương 6 -> Đường đi ngắn nhất","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Làm cách nào thuật toán Bellman-Ford nhận diện đồ thị có chứa 'chu trình trọng số âm'?","Đếm số lượng các cạnh có trọng số âm, nếu lớn hơn V thì có chu trình.","Thực hiện lặp thao tác nới lỏng lần thứ V, nếu vẫn có cạnh tiếp tục được cập nhật giảm chi phí thì khẳng định tồn tại chu trình âm.","Kiểm tra bằng cách gọi thuật toán BFS từ mọi đỉnh.","Dijkstra không thể phát hiện nhưng Kruskal sẽ phát hiện được.","B","TH",1,,
"Toán rời rạc 2 -> Chương 6 -> Đường đi ngắn nhất","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Thuật toán Floyd-Warshall dùng để tìm đường đi ngắn nhất:","Từ một đỉnh tới toàn bộ các đỉnh còn lại.","Chỉ giữa một cặp đỉnh xác định trước.","Giữa tất cả mọi cặp đỉnh trong đồ thị với nhau.","Giữa các đỉnh có bậc là số lẻ.","C","NB",1,,
"Toán rời rạc 2 -> Chương 6 -> Đường đi ngắn nhất","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Đoạn mã cốt lõi cập nhật đường đi qua đỉnh trung gian k của thuật toán Floyd-Warshall là:","d[i][j] = d[i][k] + d[k][j];","if (d[i][j] > d[i][k] + d[k][j]) d[i][j] = d[i][k] + d[k][j];","if (d[i][j] < d[i][k] * d[k][j]) d[i][j] = d[i][k] * d[k][j];","if (d[i][k] > d[i][j] + d[j][k]) d[i][k] = d[i][j] + d[j][k];","B","TH",1,,
"Toán rời rạc 2 -> Chương 6 -> Đường đi ngắn nhất","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Sắp xếp thứ tự lồng nhau đúng chuẩn của ba vòng lặp for trong thuật toán Floyd-Warshall với k là biến đỉnh trung gian, i là điểm đầu, j là điểm cuối:","for i { for j { for k { ... } } }","for k { for i { for j { ... } } }","for i { for k { for j { ... } } }","Thứ tự thế nào thuật toán vẫn chạy đúng.","B","VD",1,,
"Toán rời rạc 2 -> Chương 6 -> Đường đi ngắn nhất","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Lỗi sai lập trình nào khiến thuật toán Floyd-Warshall cho ra kết quả khoảng cách sai lệch khi duyệt trên ma trận n x n?","Khởi tạo d[i][i] = 0.","Đặt vòng lặp k (đỉnh trung gian) vào phía bên trong vòng lặp i và j thay vì đặt ra ngoài cùng.","Khởi tạo khoảng cách d[i][j] giữa các đỉnh không kề nhau là vô cực.","Cập nhật khoảng cách thay vì cập nhật đỉnh kề.","B","VD",1,,
"Toán rời rạc 2 -> Chương 6 -> Đường đi ngắn nhất","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Độ phức tạp thời gian chạy của thuật toán Floyd-Warshall trên đồ thị có n đỉnh là bao nhiêu?","O(n log n)","O(n^2)","O(n^3)","O(2^n)","C","NB",1,,
"Toán rời rạc 2 -> Chương 6 -> Đường đi ngắn nhất","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Trong thuật toán Dijkstra, vì sao không thể đưa đồ thị có cạnh trọng số âm vào xử lý?","Thuật toán Dijkstra sẽ bị rơi vào vòng lặp vô hạn.","Biến mảng d[] sẽ gặp lỗi không xác định.","Đỉnh sau khi được chốt khoảng cách nhỏ nhất (bỏ khỏi hàng đợi ưu tiên) sẽ không bao giờ được cập nhật lại, dẫn đến đường đi cập nhật sau do cạnh âm bị bỏ sót.","Dijkstra không biết phân biệt số âm và dương.","C","VD",1,,
"Toán rời rạc 2 -> Chương 6 -> Đường đi ngắn nhất","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Để truy vết đường đi từ thuật toán Floyd-Warshall, ta thường dùng thêm một ma trận hai chiều Next[i][j] để lưu thông tin gì?","Lưu trọng số lớn nhất đi qua.","Lưu đỉnh trung gian hoặc đỉnh kế tiếp trên đường đi ngắn nhất từ i đến j để phục hồi toàn bộ đường đi.","Lưu số cạnh từ i đến j.","Lưu true/false xem đã xét hay chưa.","B","TH",1,,
"Toán rời rạc 2 -> Chương 7 -> Bài toán luồng cực đại","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Trong định nghĩa mạng luồng (Flow Network), hai đỉnh có tính chất đặc biệt bắt buộc phải tồn tại là:","Đỉnh nguồn s (chỉ có cung đi ra) và đỉnh đích t (chỉ có cung đi vào).","Đỉnh gốc r và đỉnh lá v.","Đỉnh có bậc lẻ cao nhất và đỉnh bậc chẵn.","Đỉnh có sức chứa tối đa và đỉnh sức chứa bằng 0.","A","NB",1,,
"Toán rời rạc 2 -> Chương 7 -> Bài toán luồng cực đại","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Khả năng thông qua (Capacity) trên cung e=(u, v), ký hiệu là c(u, v), mang ý nghĩa vật lý nào dưới đây?","Tốc độ chạy thuật toán tối thiểu qua đỉnh v.","Sức chứa luồng lớn nhất cho phép đi qua cung (u, v).","Luồng thực tế hiện đang chảy qua (u, v).","Khả năng mở rộng trọng số của cạnh.","B","NB",1,,
"Toán rời rạc 2 -> Chương 7 -> Bài toán luồng cực đại","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Luồng mạng f hợp lệ phải tuân thủ 'Nguyên lý bảo toàn luồng' tại mọi đỉnh trung gian v (khác đỉnh phát s và đỉnh thu t). Định lý đó phát biểu thế nào?","Tổng luồng đi vào đỉnh v lớn hơn tổng luồng đi ra khỏi v.","Tổng luồng đi ra khỏi v phải luôn bằng 0.","Tổng các luồng đi vào đỉnh v bằng đúng tổng các luồng đi ra khỏi đỉnh v.","Sức chứa đi vào phải lớn hơn sức chứa đi ra.","C","TH",1,,
"Toán rời rạc 2 -> Chương 7 -> Bài toán luồng cực đại","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Giá trị của một luồng toàn mạng được tính bằng công thức nào?","Tổng sức chứa của mọi cung có trong mạng.","Hiệu số giữa tổng sức chứa vào và sức chứa ra tại s.","Tổng của tất cả luồng f(u, v) trên mạng đồ thị.","Tổng giá trị luồng phát ra từ đỉnh nguồn s (hoặc tổng luồng thu về đích t).","D","TH",1,,
"Toán rời rạc 2 -> Chương 7 -> Bài toán luồng cực đại","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Thuật toán cơ sở dùng để giải quyết Bài toán luồng cực đại là:","Thuật toán Dijkstra.","Thuật toán Floyd.","Thuật toán Kruskal.","Thuật toán Ford-Fulkerson.","D","NB",1,,
"Toán rời rạc 2 -> Chương 7 -> Bài toán luồng cực đại","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Thuật toán Ford-Fulkerson tiến hành tăng dần giá trị luồng bằng cách liên tục tìm kiếm yếu tố nào trên đồ thị tăng luồng (Residual Graph)?","Chu trình Hamilton qua s và t.","Đường tăng luồng (Augmenting Path) từ s đến t.","Cạnh có trọng số âm duy nhất.","Cây khung có luồng lớn nhất.","B","TH",1,,
"Toán rời rạc 2 -> Chương 7 -> Bài toán luồng cực đại","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Khi tính toán trên Đồ thị tăng luồng, một cung thuận (u, v) có sức chứa là c(u, v) và đang có luồng f(u, v) chạy qua. Trọng số sức chứa c_f(u, v) của cung này trên đồ thị tăng luồng là bao nhiêu?","c_f(u, v) = f(u, v)","c_f(u, v) = c(u, v)","c_f(u, v) = c(u, v) - f(u, v)","c_f(u, v) = c(u, v) + f(u, v)","C","VD",1,,
"Toán rời rạc 2 -> Chương 7 -> Bài toán luồng cực đại","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Định lý cốt lõi 'Luồng cực đại - Lát cắt cực tiểu' khẳng định tính chất đẳng thức nào sau đây?","Giá trị của luồng cực đại trên mạng luôn bằng tổng số cạnh của lát cắt nhỏ nhất.","Giá trị luồng cực đại của đồ thị lớn hơn giá trị của một lát cắt bất kỳ.","Giá trị của luồng cực đại bằng khả năng thông qua (sức chứa) nhỏ nhất trong tất cả các lát cắt (lát cắt hẹp nhất).","Giá trị luồng bằng trọng số của chu trình hẹp nhất.","C","TH",1,,
